2001,,,2002,,,x,x,s,x,x,x
1901,1902,1903,1904,1905,,x,x,x,x,x,x
1801,1802,1803,1804,1805,,x,x,x,x,x,x
1701,1702,1703,1704,1705,,x,x,x,x,x,x
1601,1602,1603,1604,1605,,x,x,l,x,x,x
1501,1502,1503,1504,1505,,1407,x,x,x,x,1412
1401,1402,1403,1404,1405,,1407,x,x,x,x,1412
1301,1302,1303,1304,1305,,1307,x,x,x,x,1312
1201,1202,1203,1204,1205,,1207,x,x,x,x,1212
1101,1102,1103,1104,1105,,1107,x,x,x,x,1112
1001,1002,1003,1004,1005,Sauna,Steam,Fitness,Swimming Pool,,,1012
901,902,903,904,905,906,907,908,909,910,911,912
801,802,803,804,805,806,807,808,809,810,811,812
701,702,703,704,705,706,707,708,709,710,711,712
601,602,603,604,605,606,607,608,609,610,611,612
501,502,503,504,505,506,507,508,509,510,511,512
401,402,403,404,405,406,407,408,409,410,411,412
301,302,303,304,305,306,307,308,309,310,311,312
201,202,203,204,205,206,207,208,Lobby,,211,212
101,102,103,104,105,106,Restroom,Lobby,,,,
Unit 1,Unit 2,Unit 3,Unit 4,Unit 5,Unit 6,Unit 7,Unit 8,Unit 9,Unit 10,Unit 11,Unit 12
