2910,2909,2908,x,,2905,2904,x,,,x,2922,2921,2920,2919,2918,s,x,x,x,2911,2912,2913,l,x,x
2810,2809,2808,x,,2805,2804,x,,,x,2822,2821,2820,2819,2818,x,x,x,x,2811,2812,2813,x,x,x
2710,2709,2708,x,,2705,2704,x,,,x,2722,2721,2720,2719,2718,x,x,x,x,2711,2712,2713,x,x,x
2610,2609,2608,x,,2605,2604,Garden,,,x,2622,2621,2620,2619,2618,x,x,x,x,2611,2612,2613,x,x,x
2510,2509,2508,x,,2505,2504,2503,2502,2501,x,2522,2521,2520,2519,2518,x,x,x,x,2511,2512,2513,x,x,x
2410,2409,2408,x,,2405,2404,2403,2402,2401,x,2422,2421,2420,2419,2418,2417,x,,,2411,2412,2413,x,x,x
2310,2309,2308,x,,2305,2304,2303,2302,2301,x,2322,2321,2320,2319,2318,2317,x,,,2311,2312,2313,x,x,x
2210,2209,2208,x,,2205,2204,2203,2202,2201,x,2222,2221,2220,2219,2218,2217,x,,,2211,2212,2213,x,x,x
2110,2109,2108,x,,2105,2104,2103,2102,2101,x,2122,2121,2120,2119,2118,2117,x,,,2111,2112,2113,x,x,x
2010,2009,2008,x,,2005,2004,2003,2002,2001,x,2022,2021,2020,2019,2018,2017,x,,,2011,2012,2013,x,x,x
1910,1909,1908,Garden,,1905,1904,1903,1902,1901,x,1922,1921,1920,1919,1918,1917,x,,,1911,1912,1913,1914,Garden,x
1810,1809,1808,1807,1806,1805,1804,1803,1802,1801,x,1822,1821,1820,1819,1818,1817,1816,x,,1811,1812,1813,1814,1815,x
1710,1709,1708,1707,1706,1705,1704,1703,1702,1701,x,1722,1721,1720,1719,1718,1717,1716,x,,1711,1712,1713,1714,1715,x
1610,1609,1608,1607,1606,1605,1604,1603,1602,1601,x,1622,1621,1620,1619,1618,1617,1616,x,,1611,1612,1613,1614,1615,x
1510,1509,1508,1507,1506,1505,1504,1503,1502,1501,x,1522,1521,1520,1519,1518,1517,1516,x,,1511,1512,1513,1514,1515,x
1410,1409,1408,1407,1406,1405,1404,1403,1402,1401,x,1422,1421,1420,1419,1418,1417,1416,x,,1411,1412,1413,1414,1415,x
1310,1309,1308,1307,1306,1305,1304,1303,1302,1301,x,1322,1321,1320,1319,1318,1317,1316,x,,1311,1312,1313,1314,1315,x
1210,1209,1208,1207,1206,1205,1204,1203,1202,1201,x,1222,1221,1220,1219,1218,1217,1216,x,,1211,1212,1213,1214,1215,x
1110,1109,1108,1107,1106,1105,1104,1103,1102,1101,x,1122,1121,1120,1119,1118,1117,1116,x,,1111,1112,1113,1114,1115,x
1010,1009,1008,1007,1006,1005,1004,1003,1002,1001,x,1022,1021,1020,1019,1018,1017,x,,,1011,1012,1013,1014,x,x
910,909,908,907,906,905,904,903,902,901,x,922,921,920,919,918,917,x,,,911,912,913,914,x,x
810,809,808,807,806,805,804,803,802,801,x,822,821,820,819,818,817,x,,,811,812,813,814,x,x
710,709,708,707,706,705,704,703,702,701,x,722,721,720,719,718,717,x,,,711,712,713,714,x,x
610,609,608,607,x,605,604,603,602,601,x,622,621,620,619,618,617,x,,,611,612,x,,,x
x,,,,,505,504,503,502,501,x,522,521,520,519,518,517,x,,,,,,,,x
x,,,,,405,404,403,402,401,x,422,421,420,419,418,417,x,,,,,,,,x
x,,,,,Pool,,303,302,301,x,Garden,,,,,,x,,,,,,,,x
Parking,,,,,Parking,,,,,x,Parking,,,,x,,,,,Parking,,x,,,x
Lobby,,,107,106,105,104,103,102,101,x,x,,,,,,,,,,,,,,x
Unit 10,Unit 9,Unit 8,Unit 7,Unit 6,Unit 5,Unit 4,Unit 3,Unit 2,Unit 1,x,Unit 22,Unit 21,Unit 20,Unit 19,Unit 18,Unit 17,Unit 16,x,x,Unit 11,Unit 12,Unit 13,Unit 14,Unit 15,x
